video_id,url,discovery_query,source_label,caption,hashtags,create_time,comment_count,gate_verdict,gate_rule,keep
7555921517935119634,https://www.tiktok.com/@caynhalavuonstudio.com/video/7555921517935119634,ngập lụt Hà Nội,kw_ngap_lut_ha_noi,Miễn Em thích bão bùng ngập lụt anh cũng quá đón#xedien #bão #ngaplut #hanoi ,#xedien #bão #ngaplut #hanoi,2025-09-30T16:34:35+00:00,1065,reject,thieu_nhom:B_giao_thong_tac_dong+C_dia_diem,0
7556094797971279122,https://www.tiktok.com/@gaureview2023/video/7556094797971279122,kẹt xe ngập nước Hà Nội,kw_ket_xe_ngap_nuoc_ha_noi,Ảnh hưởng bão Bualoi - bão số 10. Hà Nội siêu ngập 30/9-1/10. Kẹt xe 7 tiếng trên vành đai 3 trên cao. #bualoi #ngaphanoi #hanoingaplut #tacduong #hanoi ,#bualoi #ngaphanoi #hanoingaplut #tacduong #hanoi,2025-10-01T03:47:00+00:00,5,accept,du_3_nhom,1
7542702141752773906,https://www.tiktok.com/@kenzo_hoang/video/7542702141752773906,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,"AE ai có việc đi Nguyễn Trãi hướng lên Ngã Tư Sở thì quay đầu nhá, đường ngập và tắc lắm",,2025-08-26T01:36:40+00:00,50,accept,du_3_nhom,1
7556076068231417090,https://www.tiktok.com/@kabe.tv/video/7556076068231417090,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,Quá mêt mỏi Hà Nội ngày hôm qua! Ngập lụt tắc đường khắp nơi! #ngập_lụt #tắcđường #DL,#ngập_lụt #tắcđường #DL,2025-10-01T02:34:51+00:00,37,accept,du_3_nhom,1
7542715434412363016,https://www.tiktok.com/@lana_8393/video/7542715434412363016,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,Ngập và tắc luônn ở Cầu Giấy rồi #lụt #ngập #mưa #hanoi #xuhuong,#lụt #ngập #mưa #hanoi #xuhuong,2025-08-26T02:28:17+00:00,2,reject,thieu_nhom:B_giao_thong_tac_dong,0
7555770489294146823,https://www.tiktok.com/@meonhoshop26/video/7555770489294146823,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,Đường Giải phóng Hà Nội đây . Chưa biết con đường nào để tối về nhà dự là combo ngập tắc #ngapluthanoi #ngaplut ,#ngapluthanoi #ngaplut,2025-09-30T06:48:35+00:00,28,accept,du_3_nhom,1
7555884036867018005,https://www.tiktok.com/@hongnam232/video/7555884036867018005,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,Cập nhật tình hình Nguyễn Trãi cho anh em nhé!!! Không biết nên ở hay nên về nữa đây 😭😭😭#hanoingaplut #baobualoi #tacduonghanoi #namhong,#hanoingaplut #baobualoi #tacduonghanoi #namhong,2025-09-30T14:09:08+00:00,278,reject,thieu_nhom:A_ngap_lut+B_giao_thong_tac_dong,0
7555418679178022160,https://www.tiktok.com/@kienthuc.official/video/7555418679178022160,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,"Hà Nội chìm trong ‘biển nước’: Đại lộ Thăng Long, Mỹ Đình, đường Láng ngập sâu, ùn tắc kéo dài...! #tiktok #tiktoknews #news #tinhot #tintuc24h #tintuc #trithuccuocsong #viral #giongloc #baoso10 #hanoi #bualoi",#tiktok #tiktoknews #news #tinhot #tintuc24h #tintuc #trithuccuocsong #viral #giongloc #baoso10 #hanoi #bualoi,2025-09-29T08:03:26+00:00,83,accept,du_3_nhom,1
7555800057207852295,https://www.tiktok.com/@nguyenthihuyen_95/video/7555800057207852295,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,"trời vẫn mưa, làm sao để về nhà đây  Hà Lội ơi #bãobualoi #hanoi #capnhatmoinhat ",#bãobualoi #hanoi #capnhatmoinhat,2025-09-30T08:43:15+00:00,1,reject,thieu_nhom:A_ngap_lut+C_dia_diem,0
7555881453624560903,https://www.tiktok.com/@tommy.huang.hcm/video/7555881453624560903,tắc đường ngập Hà Nội,kw_tac_duong_ngap_ha_noi,"HN phản ứng quá chậm và thụ động ""... Hôm nay, Hà Nội chìm trong trận ngập lụt kinh hoàng nhất kể từ 2008, do bão số Bualoi trút mưa 70-200mm, có nơi trên 400mm.  Hơn 65 điểm ngập sâu 0,5-1m; Nhiều tuyến đường biến thành sông. Giao thông tê liệt, xe cộ chết máy, người dân lội nước đến bẹn cả 3-4 tiếng ngoài đường, nhiều người không đón được con..."" #baobouloi #hanoingaplut #baolu #muabao ",#baobouloi #hanoingaplut #baolu #muabao,2025-09-30T13:59:07+00:00,1,accept,du_3_nhom,1
7542738244878765319,https://www.tiktok.com/@gginvietnam/video/7542738244878765319,xe máy ngập nước Hà Nội,kw_xe_may_ngap_nuoc_ha_noi,"Đi xe máy mùa mưa ngập Hà Nội 🚨⚠️‼️ Đừng dại mà cố ga thêm như mình, nước tràn vào sẽ hỏng động cơ ngay lập tức 💸😢 👉🏼 Bài học xương máu và lời khuyên chân thành cho mọi người: Gặp chỗ ngập sâu nên tìm đường khác an toàn hơn hoặc nếu chết xe hãy tắt máy ngay lập tức và xuống dắt bộ nhé! #Vietnam #Flood #Viral #Trending #Travel",#Vietnam #Flood #Viral #Trending #Travel,2025-08-26T03:56:47+00:00,36,accept,du_3_nhom,1
7558301774621281556,https://www.tiktok.com/@tiin.vn/video/7558301774621281556,ô tô ngập nước Hà Nội,kw_o_to_ngap_nuoc_ha_noi,Ô tô băng băng lội nước ngập ở Hà Nội #tiinnews,#tiinnews,2025-10-07T02:31:40+00:00,1714,accept,du_3_nhom,1
7558263447549496577,https://www.tiktok.com/@thi.thao.day/video/7558263447549496577,ô tô ngập nước Hà Nội,kw_o_to_ngap_nuoc_ha_noi,"Hà Nội mùa này, phố cũng như sông 😢 ngập toàn mặt trận, sấm chớp nổ ầm ầm. Đi ô tô mà cứ như đang ngồi trên cano chỉ sợ chết máy 😭😭😭 #viral #xh #hanoi #ngap #bão ",#viral #xh #hanoi #ngap #bão,2025-10-07T00:02:38+00:00,1,accept,du_3_nhom,1
7558750389575634183,https://www.tiktok.com/@hathanhford/video/7558750389575634183,ô tô ngập nước Hà Nội,kw_o_to_ngap_nuoc_ha_noi,Ford F-150 lội nước Hà Nội mùa mưa bão thế này ai mà không ước #ford #hathanhauto #hathanhford #RAPTOR #hanoinews ,#ford #hathanhauto #hathanhford #RAPTOR #hanoinews,2025-10-08T07:32:03+00:00,1260,reject,thieu_nhom:A_ngap_lut+B_giao_thong_tac_dong,0
7543602050777615634,https://www.tiktok.com/@hntrong06204/video/7543602050777615634,ngập Thủ đô,kw_ngap_thu_do,#xuhuong #hanoi Đường hà nội trưa nay 28/08 nước ngập mà cũng cute nữa😂,#xuhuong #hanoi,2025-08-28T11:48:44+00:00,13400,reject,thieu_nhom:B_giao_thong_tac_dong,0
7555960217540840712,https://www.tiktok.com/@tunanhtrn491/video/7555960217540840712,ngập Thủ đô,kw_ngap_thu_do,"Xe bơi tại Thủ Đô 😭, các bác về nhà chưa? #ngaplut #ngap #trending #baobualoi #xuhuongtiktok #following #follower #hanoi #tintuchomnay #tintuc ",#ngaplut #ngap #trending #baobualoi #xuhuongtiktok #following #follower #hanoi #tintuchomnay #tintuc,2025-09-30T19:04:51+00:00,1,reject,thieu_nhom:A_ngap_lut,0
7542691963082968341,https://www.tiktok.com/@tnt_di_hoc/video/7542691963082968341,ngập Thủ đô,kw_ngap_thu_do,"BÃO KAJIKI Ảnh hưởng mưa lớn, ngập lụt khắp các tuyến phố Thủ đô Hà Nội #kajiki #bao #hanoi",#kajiki #bao #hanoi,2025-08-26T00:57:25+00:00,134,reject,thieu_nhom:B_giao_thong_tac_dong,0
7555898872397090056,https://www.tiktok.com/@ngocthanhhappy/video/7555898872397090056,ngập Hoàn Kiếm,kw_ngap_hoan_kiem,Từ bé đến giờ tôi mới chứng kiến Hồ Hoàn Kiếm ngập tràn mênh mông biển nước như này! Cơn bão Bualoi mang lại hậu quả nặng nề cho cả miền Bắc và miền Trung! Cầu mong bình an đến mọi nhà 🙏🙏🙏#ngocthanhhappy #baobualoi #hanoingaymuagio🌧 ,#ngocthanhhappy #baobualoi #hanoingaymuagio,2025-09-30T15:06:42+00:00,2,reject,thieu_nhom:B_giao_thong_tac_dong,0
7555758796241423649,https://www.tiktok.com/@lensationphotography/video/7555758796241423649,ngập Hoàn Kiếm,kw_ngap_hoan_kiem,"Hanoi, little rain #hanoi #hohoankiem #rain #flood #",#hanoi #hohoankiem #rain #flood,2025-09-30T06:03:55+00:00,14,reject,thieu_nhom:A_ngap_lut+B_giao_thong_tac_dong+C_dia_diem,0
