article_url,publisher,discovery_query,title,published_at,gate_verdict,gate_rule,in_date_window,has_comments_confirmed,keep
https://vnexpress.net/nhieu-pho-ha-noi-ngap-sau-giao-thong-un-tac-sau-mua-lon-5096030.html,VnExpress,Hà Nội ngập,"Nhiều phố Hà Nội ngập sâu, giao thông ùn tắc sau mưa lớn",2026-07-10T19:24:23+07:00,accept,du_3_nhom,no,yes,0
https://vnexpress.net/noi-do-ha-noi-con-gan-20-diem-ngap-5121450.html,VnExpress,đường ngập Hà Nội,Nội đô Hà Nội còn gần 20 điểm ngập,2026-09-17T16:37:35+07:00,accept,du_3_nhom,no,yes,0
https://vnexpress.net/nhieu-truong-o-ha-noi-cho-nghi-hoc-online-vi-mua-ngap-5121154.html,VnExpress,mưa ngập Hà Nội,"Nhiều trường ở Hà Nội cho nghỉ, học online vì mưa ngập",2026-09-17T06:43:08+07:00,accept,du_3_nhom,no,yes,0
https://vnexpress.net/nhieu-tuyen-pho-ha-noi-bi-ngap-trong-mua-giong-5114248.html,VnExpress,ngập lụt giao thông Hà Nội,Nhiều tuyến phố Hà Nội bị ngập trong mưa giông,2026-08-27T19:24:29+07:00,reject,thieu_nhom:B_giao_thong_tac_dong,no,yes,0
https://vnexpress.net/du-bao-ha-noi-mua-lon-gio-tan-tam-5120531.html,VnExpress,tắc đường ngập Hà Nội,Dự báo Hà Nội mưa lớn giờ tan tầm,2026-09-15T14:33:49+07:00,accept,du_3_nhom,no,yes,0
https://vnexpress.net/nuoc-cuon-cuon-un-tac-keo-dai-trong-mua-lon-o-tp-hcm-5123461.html,VnExpress,ùn tắc ngập Hà Nội,"Nước cuồn cuộn, ùn tắc kéo dài trong mưa lớn ở TP HCM",2026-09-22T18:00:49+07:00,reject,thieu_nhom:A_ngap_lut+C_dia_diem,no,yes,0
https://vnexpress.net/bo-lan-dung-khan-cap-vanh-dai-3-co-het-un-tac-5121239.html,VnExpress,ùn tắc ngập Hà Nội,"Bỏ làn dừng khẩn cấp, vành đai 3 có hết ùn tắc?",2026-09-17T09:53:09+07:00,reject,thieu_nhom:A_ngap_lut,no,yes,0
https://vnexpress.net/un-tac-keo-dai-2-3-km-tren-mot-so-tuyen-duong-ha-noi-5120301.html,VnExpress,ùn tắc ngập Hà Nội,Ùn tắc kéo dài 2-3 km trên một số tuyến đường Hà Nội,2026-09-15T10:08:40+07:00,reject,thieu_nhom:A_ngap_lut,no,yes,0
https://vnexpress.net/cua-ngo-ha-noi-tp-hcm-un-tac-nhieu-km-tu-chieu-den-dem-5114688.html,VnExpress,ùn tắc ngập Hà Nội,"Cửa ngõ Hà Nội, TP HCM ùn tắc nhiều km từ chiều đến đêm",2026-08-28T17:58:34+07:00,reject,thieu_nhom:A_ngap_lut,no,yes,0
https://vnexpress.net/nhieu-vung-ha-du-binh-thuan-ngap-nguoi-dan-so-tan-5124372.html,VnExpress,ngập đi làm Hà Nội,"Nhiều vùng hạ du Bình Thuận ngập, người dân sơ tán",2026-09-24T18:30:25+07:00,reject,thieu_nhom:C_dia_diem,no,yes,0
https://vnexpress.net/diem-tin-21h-mua-lu-lam-ngap-hon-2-200-nha-o-ngoai-thanh-ha-noi-doi-lo-trinh-siet-phuong-thuc-tuyen-sinh-dai-hoc-2027-5121502.html,VnExpress,ngập đi làm Hà Nội,Nghe podcasts | Điểm tin 21h: Mưa lũ làm ngập hơn 2.200 nhà ở ngoại thành Hà Nội | Đổi lộ trình siết phương thức tuyển sinh đại học 2027,2026-09-17,accept,du_3_nhom,no,yes,0
https://vnexpress.net/quoc-lo-32-van-ngap-nua-met-hang-loat-xe-chet-may-5121763.html,VnExpress,xe máy ngập nước Hà Nội,"Quốc lộ 32 vẫn ngập nửa mét, hàng loạt xe chết máy",2026-09-18T12:07:56+07:00,reject,thieu_nhom:B_giao_thong_tac_dong+C_dia_diem,no,yes,0
https://vnexpress.net/ha-noi-thu-nghiem-xe-buyt-tu-hanh-robotaxi-5114096.html,VnExpress,xe buýt ngập Hà Nội,"Hà Nội thử nghiệm xe buýt tự hành, robotaxi",2026-08-27T14:04:54+07:00,reject,thieu_nhom:A_ngap_lut,no,yes,0
https://vnexpress.net/hon-3-ngay-song-chung-voi-ngap-cua-nguoi-dan-o-tu-lien-5121544.html,VnExpress,ngập Hà Nội,Hơn 3 ngày sống chung với ngập của người dân ở Tứ Liên,2026-09-17T20:01:38+07:00,reject,thieu_nhom:B_giao_thong_tac_dong+C_dia_diem,no,no_widget,0
https://vnexpress.net/loat-du-an-chong-ngap-ha-noi-tang-toc-ve-dich-5097497.html,VnExpress,ngập Hà Nội,Loạt dự án chống ngập Hà Nội tăng tốc về đích,2026-07-15T00:00:00+07:00,reject,thieu_nhom:B_giao_thong_tac_dong,no,yes,0
https://vnexpress.net/mua-lon-gio-tan-tam-giao-thong-ha-noi-roi-loan-5114244.html,VnExpress,ngập Hà Nội,"Mưa lớn giờ tan tầm, giao thông Hà Nội rối loạn",2026-08-27T17:58:48+07:00,accept,du_3_nhom,no,yes,0
https://vnexpress.net/khu-dan-cu-ngap-nuoc-suot-3-ngay-o-thu-do-5121127.html,VnExpress,ngập Thủ đô,Khu dân cư ngập nước suốt 3 ngày ở Thủ đô,2026-09-17T02:00:00+07:00,reject,thieu_nhom:B_giao_thong_tac_dong,no,yes,0
https://vnexpress.net/18-nam-song-trong-ron-ngap-giua-thu-do-5102679.html,VnExpress,ngập Thủ đô,18 năm sống trong 'rốn ngập' giữa Thủ đô - Báo VnExpress Đời sống,2026-07-29T06:00:00+07:00,accept,du_3_nhom,no,yes,0
https://vnexpress.net/khong-khi-noel-tran-ngap-thu-do-3331727.html,VnExpress,ngập Thủ đô,Không khí Noel tràn ngập thủ đô,,reject,thieu_nhom:B_giao_thong_tac_dong,no,yes,0
https://vnexpress.net/thu-do-nuoc-nao-cao-nhat-the-gioi-5123490.html,VnExpress,ngập Thủ đô,Thủ đô nước nào cao nhất thế giới?,2026-09-22T20:51:47+07:00,reject,thieu_nhom:A_ngap_lut,no,yes,0
https://vnexpress.net/hoa-loa-ken-tran-ngap-thu-do-2128204.html,VnExpress,ngập Thủ đô,Hoa loa kèn tràn ngập thủ đô,,accept,du_3_nhom,no,no_widget,0
https://vnexpress.net/nhieu-xa-o-nghe-an-ngap-do-mua-lon-5120838.html,VnExpress,ngập Thủ đô,Nhiều xã ở Nghệ An ngập do mưa lớn,2026-09-16T10:35:18+07:00,accept,du_3_nhom,no,yes,0
https://vnexpress.net/khong-tim-kiem-su-hoan-hao-chi-mong-gap-mot-nguoi-chan-thanh-5123395.html,VnExpress,ngập Hoàn Kiếm,"Không tìm kiếm sự hoàn hảo, chỉ mong gặp một người chân thành",2026-09-22T16:40:33+07:00,reject,thieu_nhom:A_ngap_lut,no,yes,0
